t(s);T(celsius) verticaal met dop;T(celsius) verticaal zonder dop
0;47.6;39.1
5;47.3;37.0
10;46.9;36.2
15;46.6;35.5
20;46.3;35.3
25;45.9;35.1
30;45.5;35.0
35;45.3;35.2
40;44.8;35.4
45;44.5;35.4
50;44.2;35.4
55;43.9;35.5
60;43.5;35.4
65;43.1;35.4
70;42.6;35.4
75;42.4;35.4
80;42.1;35.0
85;41.8;34.7
90;41.6;34.2
95;41.4;34.1
100;41.1;33.9
105;40.8;33.7
110;40.4;33.5
115;40.2;33.3
120;40.0;33.2
125;39.9;33.1
130;39.8;33.0
135;39.8;32.8
140;39.6;32.6
145;39.4;32.7
150;39.2;32.5
155;38.9;32.4
160;38.7;32.3
165;38.5;32.1
170;38.4;31.9
175;38.3;31.8
180;38.1;31.6
185;37.9;31.4
190;37.6;31.3
195;37.4;31.3
200;37.3;31.2
205;37.1;31.1
210;37.0;31.0
215;36.8;30.6
220;36.6;30.5
225;36.4;30.4
230;36.2;30.3
235;35.9;30.3
240;35.7;30.2
245;35.5;30.1
250;35.3;29.9
255;35.2;29.7
260;35.0;29.6
265;34.9;29.5
270;34.8;29.5
275;34.7;29.5
280;34.6;29.4
285;34.4;29.3
290;34.3;29.1
295;34.2;29.0
300;34.2;28.9
